DATE,IPG2211A2N
2009-04-01,88.3216
2009-05-01,87.7292
2009-06-01,97.5534
2009-07-01,104.1672
2009-08-01,106.0048
2009-09-01,95.0943
2009-10-01,89.3813
2009-11-01,89.4578
2009-12-01,110.8781
2010-01-01,119.2479
2010-02-01,110.7531
2010-03-01,98.3435
2010-04-01,86.2616
2010-05-01,90.8463
2010-06-01,104.4778
2010-07-01,113.1387
2010-08-01,113.2550
2010-09-01,100.3369
2010-10-01,89.0647
2010-11-01,92.8335
2010-12-01,114.5353
2011-01-01,119.7459
2011-02-01,107.4949
2011-03-01,99.1833
2011-04-01,89.3555
2011-05-01,90.0892
2011-06-01,102.9264
2011-07-01,114.9321
2011-08-01,113.7652
2011-09-01,99.5831
2011-10-01,90.3256
2011-11-01,93.7509
2011-12-01,107.3344
2012-01-01,111.8394
2012-02-01,103.3476
2012-03-01,93.4091
2012-04-01,87.4575
2012-05-01,92.7737
2012-06-01,101.2472
2012-07-01,113.3880
2012-08-01,110.1665
2012-09-01,96.8990
2012-10-01,90.2566
2012-11-01,94.2046
2012-12-01,105.0109
2013-01-01,115.2199
2013-02-01,106.4386
2013-03-01,102.6576
2013-04-01,90.6033
2013-05-01,90.6912
2013-06-01,100.6560
2013-07-01,110.3545
2013-08-01,108.4241
2013-09-01,99.3492
2013-10-01,91.6786
2013-11-01,97.0034
2013-12-01,113.3755
2014-01-01,124.0595
2014-02-01,112.7167
2014-03-01,104.4508
2014-04-01,89.8286
2014-05-01,91.8836
2014-06-01,101.6595
2014-07-01,108.6414
2014-08-01,108.3853
2014-09-01,100.4068
2014-10-01,92.1060
2014-11-01,99.0559
2014-12-01,108.9004
2015-01-01,119.8260
2015-02-01,116.0253
2015-03-01,103.9265
2015-04-01,89.0847
2015-05-01,90.6408
2015-06-01,102.8480
2015-07-01,111.9672
2015-08-01,110.7762
2015-09-01,101.8409
2015-10-01,91.0676
2015-11-01,92.3563
2015-12-01,102.5380
2016-01-01,117.2128
2016-02-01,106.2540
2016-03-01,94.4715
2016-04-01,88.3776
2016-05-01,89.6237
2016-06-01,103.4974
2016-07-01,114.2098
2016-08-01,115.4804
2016-09-01,102.1828
2016-10-01,90.6927
2016-11-01,92.2734
2016-12-01,113.2596
2017-01-01,115.1100
2017-02-01,98.7900
2017-03-01,100.3838
2017-04-01,86.5178
2017-05-01,90.2272
2017-06-01,100.5536
2017-07-01,111.2244
2017-08-01,108.0286
2017-09-01,97.2464
2017-10-01,92.0177
2017-11-01,96.4756
2017-12-01,115.1165
2018-01-01,127.6767
2018-02-01,107.0054
2018-03-01,105.3385
